timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670628955238,740,Read Request,200,OK,JDBC thread 1-8,text,true,,146729,0,10,10,null,487,0,353
1670628954845,1141,Read Request,200,OK,JDBC thread 1-4,text,true,,146729,0,10,10,null,887,0,745
1670628955451,543,Read Request,200,OK,JDBC thread 1-10,text,true,,146729,0,10,10,null,282,0,139
1670628954643,1335,Read Request,200,OK,JDBC thread 1-2,text,true,,146729,0,10,10,null,1082,0,947
1670628955141,836,Read Request,200,OK,JDBC thread 1-7,text,true,,146729,0,10,10,null,591,0,449
1670628954941,1054,Read Request,200,OK,JDBC thread 1-5,text,true,,146729,0,10,10,null,800,0,649
1670628954747,1238,Read Request,200,OK,JDBC thread 1-3,text,true,,146729,0,10,10,null,994,0,844
1670628955040,945,Read Request,200,OK,JDBC thread 1-6,text,true,,146729,0,10,10,null,707,0,551
1670628954577,1417,Read Request,200,OK,JDBC thread 1-1,text,true,,146729,0,10,10,null,1170,0,1013
1670628955339,655,Read Request,200,OK,JDBC thread 1-9,text,true,,146729,0,10,10,null,407,0,251
1670628955997,89,Read Request,200,OK,JDBC thread 1-4,text,true,,146729,0,10,10,null,76,0,0
1670628956019,67,Read Request,200,OK,JDBC thread 1-8,text,true,,146729,0,10,10,null,59,0,0
1670628956020,67,Read Request,200,OK,JDBC thread 1-10,text,true,,146729,0,10,10,null,53,0,0
1670628955997,89,Read Request,200,OK,JDBC thread 1-6,text,true,,146729,0,10,10,null,77,0,0
1670628956019,74,Read Request,200,OK,JDBC thread 1-1,text,true,,146729,0,10,10,null,69,0,0
1670628955997,99,Read Request,200,OK,JDBC thread 1-2,text,true,,146729,0,10,10,null,90,0,0
1670628955997,99,Read Request,200,OK,JDBC thread 1-3,text,true,,146729,0,10,10,null,91,0,0
1670628956020,76,Read Request,200,OK,JDBC thread 1-9,text,true,,146729,0,10,10,null,67,0,0
1670628956020,87,Read Request,200,OK,JDBC thread 1-5,text,true,,146729,0,10,10,null,82,0,0
1670628956021,87,Read Request,200,OK,JDBC thread 1-7,text,true,,146729,0,10,10,null,82,0,0
1670628956101,27,Read Request,200,OK,JDBC thread 1-2,text,true,,146729,0,10,10,null,22,0,0
1670628956094,36,Read Request,200,OK,JDBC thread 1-8,text,true,,146729,0,10,10,null,30,0,0
1670628956101,31,Read Request,200,OK,JDBC thread 1-9,text,true,,146729,0,10,10,null,26,0,0
1670628956094,38,Read Request,200,OK,JDBC thread 1-1,text,true,,146729,0,10,10,null,33,0,0
1670628956093,42,Read Request,200,OK,JDBC thread 1-10,text,true,,146729,0,10,10,null,36,0,0
1670628956093,43,Read Request,200,OK,JDBC thread 1-4,text,true,,146729,0,10,10,null,35,0,0
1670628956100,40,Read Request,200,OK,JDBC thread 1-3,text,true,,146729,0,10,10,null,35,0,0
1670628956109,52,Read Request,200,OK,JDBC thread 1-7,text,true,,146729,0,10,10,null,27,0,0
1670628956093,65,Read Request,200,OK,JDBC thread 1-6,text,true,,146729,0,10,10,null,44,0,0
1670628956107,60,Read Request,200,OK,JDBC thread 1-5,text,true,,146729,0,10,10,null,25,0,0
1670628956140,31,Read Request,200,OK,JDBC thread 1-3,text,true,,146729,0,10,10,null,26,0,0
1670628956132,39,Read Request,200,OK,JDBC thread 1-9,text,true,,146729,0,10,10,null,34,0,0
1670628956136,35,Read Request,200,OK,JDBC thread 1-4,text,true,,146729,0,10,10,null,30,0,0
1670628956128,46,Read Request,200,OK,JDBC thread 1-2,text,true,,146729,0,10,10,null,36,0,0
1670628956135,42,Read Request,200,OK,JDBC thread 1-10,text,true,,146729,0,10,10,null,30,0,0
1670628956167,15,Read Request,200,OK,JDBC thread 1-5,text,true,,146729,0,10,10,null,10,0,0
1670628956130,53,Read Request,200,OK,JDBC thread 1-8,text,true,,146729,0,10,10,null,35,0,0
1670628956164,22,Read Request,200,OK,JDBC thread 1-6,text,true,,146729,0,10,10,null,15,0,0
1670628956132,56,Read Request,200,OK,JDBC thread 1-1,text,true,,146729,0,10,10,null,46,0,0
1670628956171,19,Read Request,200,OK,JDBC thread 1-4,text,true,,146729,0,10,10,null,14,0,0
1670628956171,22,Read Request,200,OK,JDBC thread 1-3,text,true,,146729,0,10,10,null,13,0,0
1670628956171,24,Read Request,200,OK,JDBC thread 1-9,text,true,,146729,0,10,10,null,18,0,0
1670628956174,26,Read Request,200,OK,JDBC thread 1-2,text,true,,146729,0,10,10,null,18,0,0
1670628956177,24,Read Request,200,OK,JDBC thread 1-10,text,true,,146729,0,10,10,null,18,0,0
1670628956162,41,Read Request,200,OK,JDBC thread 1-7,text,true,,146729,0,10,10,null,34,0,1
1670628956191,23,Read Request,200,OK,JDBC thread 1-4,text,true,,146729,0,10,10,null,18,0,0
1670628956188,26,Read Request,200,OK,JDBC thread 1-1,text,true,,146729,0,10,10,null,21,0,0
1670628956182,33,Read Request,200,OK,JDBC thread 1-5,text,true,,146729,0,10,10,null,25,0,1
1670628956196,24,Read Request,200,OK,JDBC thread 1-9,text,true,,146729,0,10,10,null,16,0,0
1670628956183,40,Read Request,200,OK,JDBC thread 1-8,text,true,,146729,0,10,10,null,24,0,0
1670628956186,39,Read Request,200,OK,JDBC thread 1-6,text,true,,146729,0,10,10,null,29,0,0
1670628956200,28,Read Request,200,OK,JDBC thread 1-2,text,true,,146729,0,10,10,null,16,0,0
1670628956203,29,Read Request,200,OK,JDBC thread 1-7,text,true,,146729,0,10,10,null,21,0,0
1670628956194,38,Read Request,200,OK,JDBC thread 1-3,text,true,,146729,0,10,10,null,27,0,0
1670628956214,34,Read Request,200,OK,JDBC thread 1-1,text,true,,146729,0,10,10,null,22,0,0
1670628956215,33,Read Request,200,OK,JDBC thread 1-5,text,true,,146729,0,10,10,null,24,0,0
1670628956214,40,Read Request,200,OK,JDBC thread 1-4,text,true,,146729,0,10,10,null,30,0,0
1670628956223,31,Read Request,200,OK,JDBC thread 1-8,text,true,,146729,0,10,10,null,23,0,0
1670628956220,34,Read Request,200,OK,JDBC thread 1-9,text,true,,146729,0,10,10,null,24,0,0
1670628956201,59,Read Request,200,OK,JDBC thread 1-10,text,true,,146729,0,10,10,null,53,0,0
1670628956225,49,Read Request,200,OK,JDBC thread 1-6,text,true,,146729,0,10,10,null,38,0,0
1670628956229,46,Read Request,200,OK,JDBC thread 1-2,text,true,,146729,0,10,10,null,34,0,0
1670628956238,39,Read Request,200,OK,JDBC thread 1-3,text,true,,146729,0,10,10,null,29,0,0
1670628956248,46,Read Request,200,OK,JDBC thread 1-5,text,true,,146729,0,10,10,null,37,0,0
1670628956248,59,Read Request,200,OK,JDBC thread 1-1,text,true,,146729,0,10,10,null,48,0,0
1670628956275,44,Read Request,200,OK,JDBC thread 1-6,text,true,,146729,0,10,10,null,15,0,0
1670628956255,65,Read Request,200,OK,JDBC thread 1-8,text,true,,146729,0,10,10,null,36,0,0
1670628956239,80,Read Request,200,OK,JDBC thread 1-7,text,true,,146729,0,10,10,null,46,0,0
1670628956254,68,Read Request,200,OK,JDBC thread 1-9,text,true,,146729,0,10,10,null,41,0,0
1670628956260,62,Read Request,200,OK,JDBC thread 1-10,text,true,,146729,0,10,10,null,31,0,0
1670628956277,47,Read Request,200,OK,JDBC thread 1-3,text,true,,146729,0,10,10,null,22,0,0
1670628956254,70,Read Request,200,OK,JDBC thread 1-4,text,true,,146729,0,10,10,null,36,0,0
1670628956275,51,Read Request,200,OK,JDBC thread 1-2,text,true,,146729,0,10,10,null,24,0,0
1670628956323,47,Read Request,200,OK,JDBC thread 1-10,text,true,,146729,0,10,10,null,20,0,0
1670628956320,49,Read Request,200,OK,JDBC thread 1-8,text,true,,146729,0,10,10,null,18,0,0
1670628956321,48,Read Request,200,OK,JDBC thread 1-7,text,true,,146729,0,10,10,null,23,0,0
1670628956308,62,Read Request,200,OK,JDBC thread 1-1,text,true,,146729,0,10,10,null,31,0,0
1670628956326,44,Read Request,200,OK,JDBC thread 1-2,text,true,,146729,0,10,10,null,17,0,0
1670628956294,76,Read Request,200,OK,JDBC thread 1-5,text,true,,146729,0,10,10,null,44,0,0
1670628956323,47,Read Request,200,OK,JDBC thread 1-9,text,true,,146729,0,10,10,null,16,0,0
1670628956325,46,Read Request,200,OK,JDBC thread 1-4,text,true,,146729,0,10,10,null,17,0,1
1670628956320,51,Read Request,200,OK,JDBC thread 1-6,text,true,,146729,0,10,10,null,23,0,0
1670628956324,48,Read Request,200,OK,JDBC thread 1-3,text,true,,146729,0,10,10,null,19,0,0
1670628956370,39,Read Request,200,OK,JDBC thread 1-2,text,true,,146729,0,10,10,null,28,0,0
1670628956370,43,Read Request,200,OK,JDBC thread 1-8,text,true,,146729,0,10,10,null,28,0,0
1670628956371,45,Read Request,200,OK,JDBC thread 1-10,text,true,,146729,0,10,10,null,34,0,0
1670628956370,46,Read Request,200,OK,JDBC thread 1-7,text,true,,146729,0,10,10,null,30,0,1
1670628956372,54,Read Request,200,OK,JDBC thread 1-3,text,true,,146729,0,10,10,null,27,0,0
1670628956371,56,Read Request,200,OK,JDBC thread 1-9,text,true,,146729,0,10,10,null,29,0,0
1670628956370,56,Read Request,200,OK,JDBC thread 1-1,text,true,,146729,0,10,10,null,33,0,0
1670628956371,55,Read Request,200,OK,JDBC thread 1-5,text,true,,146729,0,10,10,null,28,0,0
1670628956371,55,Read Request,200,OK,JDBC thread 1-6,text,true,,146729,0,10,10,null,37,0,0
1670628956371,55,Read Request,200,OK,JDBC thread 1-4,text,true,,146729,0,10,10,null,29,0,0
1670628956414,33,Read Request,200,OK,JDBC thread 1-8,text,true,,146729,0,6,6,null,27,0,0
1670628956417,32,Read Request,200,OK,JDBC thread 1-7,text,true,,146729,0,5,5,null,27,0,0
1670628956433,16,Read Request,200,OK,JDBC thread 1-1,text,true,,146729,0,5,5,null,11,0,0
1670628956416,33,Read Request,200,OK,JDBC thread 1-10,text,true,,146729,0,5,5,null,28,0,0
1670628956433,17,Read Request,200,OK,JDBC thread 1-5,text,true,,146729,0,3,3,null,11,0,0
1670628956434,18,Read Request,200,OK,JDBC thread 1-6,text,true,,146729,0,2,2,null,10,0,0
1670628956449,12,Read Request,200,OK,JDBC thread 1-7,text,true,,146729,0,1,1,null,7,0,0
